vid_id,num_frames,video_duration_s,video_fps,inference_time_s,per_frame_latency_ms,real_time_factor
P11T15C01,2500,22760.0,0.11,5.821564197540283,2.3286256790161133,0.0002557805007706627
P10T09C01,2500,29310.0,0.09,0.025117874145507812,0.010047149658203124,8.569728469978783e-07
P16T07C01,2500,29435.0,0.08,0.024635791778564453,0.009854316711425781,8.369557254480874e-07
P18T14C03,2500,8638.0,0.29,0.024470806121826172,0.009788322448730468,2.8329249967383854e-06
P18T14C07,2500,8660.0,0.29,0.045357465744018555,0.01814298629760742,5.237582649424776e-06
P14T09C02,2500,28825.0,0.09,0.026282310485839844,0.010512924194335938,9.117887419198558e-07
P20T04C05,2500,31754.0,0.08,0.033905982971191406,0.013562393188476561,1.067770453208774e-06
P14T09C01,2500,28838.0,0.09,0.025170087814331055,0.010068035125732422,8.728097584551999e-07
P02T01C07,2500,17807.0,0.14,0.03947305679321289,0.015789222717285157,2.2167157181565054e-06
P02T01C06,2500,17771.0,0.14,0.026485681533813477,0.01059427261352539,1.4903877966244712e-06
P18T10C01,2500,31143.0,0.08,0.03253531455993652,0.013014125823974609,1.0447071431762041e-06
P18T10C02,2500,31115.0,0.08,0.025950908660888672,0.010380363464355469,8.340320958023034e-07
P02T05C05,2500,22697.0,0.11,0.03330802917480469,0.013323211669921875,1.4675080043532046e-06
P02T05C04,2500,22716.0,0.11,0.025524139404296875,0.01020965576171875,1.1236194490357842e-06
P14T08C05,2500,24288.0,0.1,0.024823665618896484,0.009929466247558593,1.0220547438610212e-06
P14T08C04,2500,24282.0,0.1,0.02463078498840332,0.009852313995361328,1.014363931653213e-06
P11T09C01,2500,27667.0,0.09,0.033698320388793945,0.013479328155517578,1.2179969056563395e-06
P10T10C01,2500,29168.0,0.09,0.026514291763305664,0.010605716705322267,9.090198766904027e-07
P02T03C03,2500,768.0,3.26,0.03368878364562988,0.013475513458251953,4.3865603705247246e-05
P02T12C02,2500,26228.0,0.1,0.0269014835357666,0.010760593414306642,1.0256780362881883e-06
P02T03C07,2500,767.0,3.26,0.0416717529296875,0.016668701171875,5.433083823948827e-05
P10T07C04,2500,29210.0,0.09,0.025445222854614258,0.010178089141845703,8.711134150843635e-07
P10T07C05,2500,29231.0,0.09,0.03326129913330078,0.013304519653320312,1.1378775660531895e-06
P02T02C07,2500,22353.0,0.11,0.030979394912719727,0.012391757965087891,1.3859166515778521e-06
P10T02C05,2500,21998.0,0.11,0.026161909103393555,0.010464763641357422,1.1892858034091079e-06
P10T02C04,2500,21939.0,0.11,0.0345921516418457,0.013836860656738281,1.5767424058455583e-06
P16T15C07,2500,23864.0,0.1,0.03291821479797363,0.013167285919189455,1.3794089338741884e-06
P16T15C06,2500,7445.0,0.34,0.029508352279663086,0.011803340911865233,3.963512730646486e-06
P16T15C03,2500,23844.0,0.1,0.040168046951293945,0.01606721878051758,1.6846186441576055e-06
P18T11C02,2500,40328.0,0.06,0.02544116973876953,0.010176467895507812,6.308562224451878e-07
P18T11C01,2500,40351.0,0.06,0.039746999740600586,0.015898799896240233,9.850313434760126e-07
P16T14C06,2500,22831.0,0.11,0.026137590408325195,0.010455036163330078,1.1448289785083963e-06
